145.36,350.36,148.42,373.42,240.48,369.72,243.63,352.41,BREAD
141.59,313.16,139.59,321.43,172.6,323.43,168.57,310.51,MAYO
11.4,241.09,10.4,248.28,49.98,247.28,49.37,239.45,created
53.53,237.84,54.53,247.69,65.85,247.69,66.85,238.84,by
70.78,238.04,70.78,248.49,122.28,248.49,122.28,239.04,JamesaDear
32.17,199.84,34.63,220.73,112.01,214.39,111.37,196.91,LUNCH
45.26,162.28,48.29,194.24,98.61,187.31,95.99,165.28,BIG
31.76,141.05,36.81,160.82,102.62,160.94,103.97,137.17,PETE'S
26.16,76.06,30.6,119.3,121.33,116.04,121.07,79.13,Pete
123.18,83.74,128.62,105.69,157.71,97.68,162.07,83.33,the
160.41,73.71,164.56,112.6,242.72,119.66,239.72,75.91,Cat
48.93,39.23,43.08,58.95,174.22,51.35,171.01,32.4,ICanRead!
195.63,21.39,197.63,35.89,216.73,32.89,215.73,21.39,My
193.75,34.5,192.75,43.34,218.02,43.34,218.02,35.5,First
193.78,47.42,190.7,53.37,218.02,55.22,218.02,47.42,###
191.75,15.61,194.6,20.13,218.81,21.33,212.88,12.32,###
