27.67,156.33,25.67,178.67,51.67,178.67,46.67,156.33,桔
78.67,151.22,78.78,174.22,133.44,174.67,128.44,150.22,玫红
131.78,134.56,137.44,162.56,210.33,163.44,208.44,139.89,深玫红
220.78,140.0,219.44,164.67,272.44,163.11,275.44,142.0,砖红
290.78,156.33,291.78,177.22,340.33,177.22,344.44,157.11,大红
29.89,277.44,31.11,298.11,48.78,298.11,45.78,276.0,白
105.0,262.33,109.0,284.89,157.56,285.89,157.56,262.33,墨绿
163.89,287.44,163.89,307.56,219.44,310.56,219.44,283.44,深绿
232.44,274.44,234.44,297.44,284.22,298.44,284.22,275.44,浅绿
333.44,276.33,329.44,296.44,356.0,296.44,355.0,273.33,黑
