174,-6,224,29,61,248,11,212
230,521,475,522,475,574,230,573
501,296,563,294,564,337,502,338
341,317,464,316,464,346,342,347
148,340,203,333,222,490,167,497
480,674,681,512,696,530,495,692
243,314,277,318,270,371,236,367
512,635,686,474,702,491,528,652
458,291,505,292,505,303,458,302
418,353,467,353,467,378,418,378
522,655,649,597,658,615,530,673
205,491,230,491,230,531,205,531
508,373,544,373,544,393,508,393
552,630,689,535,699,548,561,644
573,646,712,570,721,587,581,662
558,630,693,555,700,569,565,644
