229,115,421,116,421,149,229,148
346,752,539,642,552,660,359,771
258,519,515,520,515,541,258,540
242,178,439,179,439,195,242,194
229,295,350,295,350,319,229,319
226,239,360,241,360,265,226,264
14,194,213,76,221,88,22,206
241,641,347,639,347,652,241,653
224,325,352,325,352,346,224,345
43,96,209,15,219,34,53,114
345,379,399,378,401,439,347,440
206,610,388,610,388,622,206,622
224,361,354,362,354,376,224,375
237,626,356,624,356,636,237,637
235,476,344,475,344,488,235,489
259,490,333,491,333,507,258,506
260,547,335,547,335,570,260,570
231,456,345,457,345,472,231,471
268,416,326,416,326,438,268,439
400,431,450,435,444,489,394,485
302,579,365,578,366,593,302,594
225,575,296,576,295,594,225,593
182,43,235,40,237,69,184,72
278,752,317,752,317,767,278,767
175,86,247,56,255,71,183,100
