76,107,395,104,395,193,77,196
190,11,485,6,486,102,192,107
553,115,774,99,777,150,557,166
578,32,756,33,755,75,578,75
104,625,158,626,157,657,103,656
5,703,264,704,263,786,5,785
79,593,185,592,186,619,80,620
527,702,798,702,797,788,527,787
140,526,178,539,173,555,135,543
245,703,528,701,528,790,245,791
74,549,122,529,129,544,81,564
367,339,437,338,437,352,367,353
99,664,167,664,166,677,99,677
64,558,81,567,51,624,34,615
167,541,196,549,190,571,162,563
202,649,217,659,199,687,184,677
73,547,104,559,90,595,58,583
