224,431,542,434,541,503,223,500
412,552,588,554,588,588,412,586
353,61,540,59,541,100,353,101
5,433,155,428,157,499,8,504
158,22,306,24,306,49,158,47
473,115,562,114,563,135,473,136
296,60,412,62,411,87,296,86
387,23,479,24,478,49,386,48
193,60,267,61,267,97,193,96
162,114,262,116,261,136,161,134
493,23,548,25,548,48,492,46
318,258,362,256,363,270,319,272
291,115,362,117,362,135,291,134
299,81,398,85,397,103,299,99
39,61,110,60,110,113,39,113
381,115,462,115,462,136,381,136
308,24,374,25,373,49,307,48
