225,239,357,237,357,263,226,265
223,111,390,110,390,145,223,146
268,520,453,518,454,537,268,540
232,454,312,456,311,471,232,469
469,644,543,645,541,703,468,702
292,609,383,608,383,620,292,621
266,554,331,556,331,568,266,566
33,155,126,143,131,178,38,190
178,53,234,36,243,59,187,77
273,418,321,417,321,437,273,437
279,751,313,751,314,765,279,766
253,642,300,640,300,650,253,651
223,361,296,362,296,374,223,373
301,580,360,579,360,592,301,593
265,490,333,490,333,504,265,504
264,477,314,476,314,487,264,488
289,624,347,622,347,635,289,637
292,324,351,322,351,343,293,345
289,294,349,294,349,318,289,318
304,361,351,361,352,374,304,375
227,325,291,324,291,343,227,344
223,610,273,610,273,621,223,621
203,75,241,61,247,73,208,88
230,293,281,294,281,318,230,317
314,640,348,640,348,650,315,651
231,475,265,476,265,486,231,485
250,577,285,576,286,590,250,591
451,522,509,522,509,538,452,538
241,179,267,179,267,191,241,190
280,178,309,179,308,191,280,191
