539,11,717,12,717,55,539,54
535,59,718,57,719,97,535,99
585,100,718,101,717,143,585,142
12,225,294,229,293,308,11,305
589,390,679,387,680,417,589,419
5,5,77,5,77,30,5,30
638,435,712,436,712,462,637,462
1,339,69,340,69,371,0,370
205,208,301,209,301,238,205,237
56,445,150,444,151,475,56,476
4,50,75,51,74,75,4,74
482,451,575,449,575,482,482,483
0,96,94,95,94,124,0,125
349,485,444,483,444,516,349,517
185,482,281,481,281,511,185,512
368,238,490,237,490,277,368,278
638,482,711,482,711,507,638,506
311,231,409,230,409,310,312,311
