230,113,404,116,403,148,230,146
365,741,532,646,544,664,377,759
241,178,439,180,439,195,240,194
262,519,508,521,507,542,262,540
228,293,348,295,348,320,228,319
224,323,353,324,353,346,223,345
228,242,364,244,364,265,228,262
253,577,335,578,335,594,252,593
348,383,402,382,403,441,349,442
224,623,358,625,357,637,224,636
19,192,191,89,200,101,28,204
228,455,356,456,356,473,227,472
35,96,220,13,228,29,43,111
224,361,355,363,355,376,224,375
259,490,337,492,336,507,259,506
239,640,347,640,347,652,239,652
204,609,383,610,383,622,204,621
237,476,343,475,344,488,237,489
271,418,328,416,329,437,272,439
262,546,335,547,335,570,262,570
398,435,445,434,447,485,400,486
168,49,238,38,243,65,173,76
277,753,316,753,316,767,277,767
