10.90,22.44,84.90,22.44,82.90,45.94,8.90,48.94,CQC
0.40,144.44,36.40,110.44,51.90,119.94,8.90,201.94,客栈
103.40,44.44,138.90,0.44,188.40,5.94,120.40,68.94,机械
272.40,39.94,310.40,2.44,355.40,2.44,289.90,63.94,机械
194.40,117.44,209.90,107.44,230.40,125.94,212.40,143.44,###
443.90,27.44,475.40,4.44,518.40,0.44,461.40,59.44,机械
102.40,209.99,127.40,202.49,149.40,209.49,120.90,232.99,机
135.90,231.99,191.40,232.99,191.40,242.49,136.90,241.49,###
3.90,309.61,40.90,267.61,69.90,296.61,2.90,362.61,客栈
104.40,376.11,199.40,277.61,233.90,295.61,121.90,403.11,机械客栈
270.90,215.49,371.40,104.49,400.40,127.99,291.90,235.49,机械客栈
442.40,209.49,516.90,129.49,538.40,160.49,460.40,237.99,机械客
535.40,116.49,547.40,110.99,547.40,141.49,539.40,138.49,###
364.90,292.16,391.90,278.16,402.90,292.16,380.40,311.66,###
274.40,376.16,319.40,335.16,344.40,357.66,300.90,399.16,机械
441.40,378.66,515.90,297.66,538.90,327.66,464.40,399.16,机械客
533.40,276.16,547.40,274.16,550.40,308.66,536.40,306.66,###
521.40,452.66,540.90,441.16,550.40,452.66,547.40,473.66,###
435.90,553.16,482.40,489.66,512.90,520.66,477.90,547.66,机械
270.40,548.66,377.90,441.16,402.40,466.66,312.90,553.66,机械客栈
92.90,548.66,198.90,441.16,229.90,464.16,147.40,548.66,机械客栈
0.40,485.16,46.90,449.16,62.40,467.16,-2.60,546.16,客栈
67.90,267.16,442.40,262.16,437.40,299.16,61.90,299.16,销售直线：0576-86746975
131.39,175.90,138.37,176.55,137.89,184.15,131.39,184.15,###
139.27,153.72,163.47,175.17,159.99,178.65,134.52,156.47,###
126.54,169.02,132.39,170.77,127.37,173.80,124.34,172.70,1
121.32,159.40,126.82,159.12,127.09,164.72,121.32,165.72,2
124.34,147.95,129.92,149.32,126.89,155.55,120.49,154.45,3
124.34,140.70,131.67,139.70,130.67,146.47,125.34,146.47,4
131.29,130.62,135.79,131.62,136.79,137.12,131.29,136.12,5
142.57,124.47,147.52,127.05,140.02,131.72,138.99,128.32,6
146.07,124.20,154.67,121.55,154.32,126.40,148.17,128.05,7
159.54,121.27,165.32,122.55,162.02,128.05,158.07,126.67,8
172.82,123.47,178.04,125.12,173.57,129.80,168.07,129.42,9
182.72,128.70,184.29,132.72,182.17,136.67,176.59,134.47,0
188.32,138.32,190.62,140.52,189.04,144.37,184.57,143.27,1
193.17,147.85,194.74,151.15,193.72,155.92,188.32,153.07,2
192.34,156.78,197.57,159.53,192.17,164.75,187.49,161.18,3
186.77,167.95,192.99,168.60,191.79,173.73,184.84,173.73,4
180.99,174.93,189.04,178.40,182.64,183.35,179.24,180.43,5
173.29,180.98,178.79,183.90,176.67,187.85,170.27,186.75,6
160.37,186.75,166.32,185.65,166.97,189.23,162.47,192.15,7
151.09,184.28,158.52,185.28,158.52,190.33,150.09,191.33,8
142.57,182.53,146.52,182.53,145.52,188.68,141.57,189.68,9
