944,67,1279,68,1278,146,943,145
899,1219,1285,1217,1285,1270,899,1272
-7,225,259,-9,284,19,17,254
913,1300,1264,1298,1265,1327,913,1329
1014,1116,1291,1114,1291,1145,1014,1147
1018,1083,1215,1082,1215,1114,1018,1115
368,11,704,8,704,54,368,57
1038,788,1226,785,1227,799,1039,802
139,1233,438,1230,439,1309,140,1312
342,1229,630,1231,629,1312,342,1311
1060,960,1175,958,1175,982,1061,984
1044,933,1102,934,1102,957,1044,957
1222,1079,1256,1066,1266,1092,1231,1105
1124,982,1197,980,1197,995,1124,997
320,20,367,19,367,33,320,34
325,37,364,36,364,54,325,55
